callsign	event_id	distance	fr24_id
WIF8L	WIF8L_1769600593		3e169478
SAS355	SAS355_1769601793		3e16b6f6
WIF2D	WIF2D_1769603143		3e16c5e8
SAS2471	SAS2471_1769605243		3e16b426
SAS4561	SAS4561_1769605543		3e16c27c
SAS42G	SAS42G_1769605843		3e16c17f
WIF23C	WIF23C_1769605993		3e16cf7f
SAS85B	SAS85B_1769606293		3e16aedc
SAS361	SAS361_1769607643		3e16f9c0
WIF2NB	WIF2NB_1769607643		3e16fa24
WIF7EN	WIF7EN_1769607793		3e16d478
BNOV	BNOV_1769608093		3e16e03e
WIF7BW	WIF7BW_1769608243		3e1701bc
NOZ1KD	NOZ1KD_1769608393		3e1703a9
SAS53G	SAS53G_1769608393		3e1701f2
SAS984			3e1561f7
ICE343  		3e16bae6
WIF5FA    		3e170560
